PlaneIssueYear_aggregated,mean_target
1991,10.857744621380627
2003,11.182954068926563
None,9.062805088282795
2004,9.847083475016312
1994,11.050051675771446
1996,9.652356358941253
1995,10.247452582728007
2001,8.451336286039579
2005,9.019901697328832
Other,13.382049716133993
1989,10.18251834629078
1988,11.026962088002788
1998,9.730524840552514
2000,8.0704615771206
1987,10.767726758250294
1992,10.565547748052827
1997,12.245618278978734
2002,10.889151995607262
1990,10.342608358299028
1993,10.197092039179777
2006,8.640740400232907
1999,10.17478489903424
2007,7.229386753167054
