Model_aggregated,mean_target
CL-600-2C10,16.82135597102528
717-200,8.300360369770722
Other,10.016655539387715
A320-232,9.806063046900743
737-7H4,5.386048394700209
EMB-145LR,15.357826272320764
737-3H4,11.086705331003083
EMB-120ER,7.42228983790188
MD-88,8.241242826043933
CL-600-2B19,11.295963320631632
DC-9-82(MD-82),14.460504480584136
