Model,RMSE,MAE,R2
LinearRegression,12.977664274721652,7.694278379182991,0.8748306308408236
DecisionTree,18.12600369936671,10.092621271846244,0.755820543902342
RandomForest,16.275781637300497,9.543677746942272,0.8031258470791149
GBTRegressor,17.83078150725781,9.60735908477505,0.7637097781232065
