Dest_aggregated,mean_target
PHX,4.595272075236945
ATL,10.519282222915544
Other,9.691404117260014
DFW,10.622228231476473
EWR,19.660431232321077
DEN,7.069830090391263
LAX,9.559780717020535
MCO,9.392142183774192
SLC,6.239282232352243
LAS,8.457960947096446
IAH,9.770744767822105
ORD,22.740732228631842
