Origin_agg,Origin_mean_enc
DCA,4.339051354438291
IAH,9.050345202906747
CVG,8.350631890293089
LGA,12.501942606843377
BOS,7.523628369634699
EWR,11.664694280078896
LAS,9.328255875173504
Other,7.827521301552078
DEN,8.473541639387195
IAD,10.9787166165345
SEA,7.973934413020707
CLT,7.5684770224079
CLE,9.346701033532964
PDX,4.822059687149645
MIA,11.945331709446883
TPA,6.680399116800357
BWI,7.2565388231323675
PHX,8.683139616169713
DFW,9.396777865515368
SFO,10.6014939459047
ATL,9.925471676999171
ORD,15.675993509819032
DTW,12.242636191427799
LAX,7.785651906472362
MSP,8.088316521169284
MCO,7.620167514622919
SAN,6.799722537520495
JFK,8.290984287970737
PHL,10.113267873696955
SLC,5.58629190494558
